published_papers
ID,タイトル(英語),タイトル(日本語),著者(英語),著者(日本語),誌名(英語),誌名(日本語),出版年月,DOI,主要な業績かどうか
50102584,Identification of the different phase structures in hafnium oxide ferroelectric thin films by atomic image simulations,null,"Yilin Xu,Zhen Yuan,Yaru Huang,Yunzhe Zheng,Tianjiao Xin,Cheng Liu,Yonghui Zheng,Yan Cheng",null,Progress in Natural Science: Materials International,null,2025-02,10.1016/j.pnsc.2025.02.005,true
50102874,Influence of interface on the domain polarization orientation in ferroelectric Hf0.5Zr0.5O2 thin films,null,"Yunzhe Zheng,Yilin Xu,Fengrui Sui,Zhaomeng Gao,Ju Chen,Zhao Guan,Luqi Wei,Zhenyu Jia,Tianjiao Xin,Yiwei Wang,Cheng Liu,Rui Wang,Yonghui Zheng,Chao Li,Xiaoling Lin,Shijing Gong,Yan Cheng",null,Ceramics International,null,2024-12,10.1016/j.ceramint.2024.03.055,true
50102570,Polarization Degradation and Recovery Strategies of Hafnia-Based Ferroelectric Capacitors After Thermal Budget in Back-End of Line Process,null,"Yunzhe Zheng,Qiwendong Zhao,Zhaomeng Gao,Tianjiao Xin,Yilin Xu,Cheng Liu,Yonghui Zheng,Yan Cheng",null,IEEE International Electron Devices Meeting,null,2024-12,10.1109/IEDM50854.2024.10873476,true
50102935,The Fluctuation Effect of Remnant Polarization in Hf0.5Zr0.5O2 Capacitors at Elevated Temperatures,null,"Zhaomeng Gao,Yunzhe Zheng,Tianjiao Xin,Cheng Liu,Qiwendong Zhao,Yilin Xu,Yonghui Zheng,Xiaoling Lin,Hangbing Lyu,Yan Cheng",null,IEEE Electron Device Letters,null,2024-08,10.1109/LED.2024.3443619,true
50102813,2D Janus Polarization Functioned by Mechanical Force,null,"Zhao Guan,Yunzhe Zheng,Wenyi Tong,Ni Zhong,Yan Cheng,Pinghua Xiang,Rong Huang,Binbin Chen,Zhongming Wei,Junhao Chu,Chungang Duan",null,Advanced Materials,null,2024-07,10.1002/adma.202403929,true
50102853,Polar axis orientation control of hafnium-based ferroelectric capacitors with in-situ AC electric bias during rapid thermal annealing,null,"Zhaomeng Gao,Tianjiao Xin,D Kai,Qiwendong Zhao,Yiwei Wang,Cheng Liu,X Yilin,Rui Wang,Guangjie Shi,Yunzhe Zheng,Yonghui Zheng,Yan Cheng,Hangbing Lyu",null,IEEE Symposium on VLSI Technology and Circuits,null,2024-06,10.1109/VLSITechnologyandCir46783.2024.10631432,false
50102599,Direct atomic-scale visualization of the 90° domain walls and their migrations in Hf0.5Zr0.5O2 ferroelectric thin films,null,"Yunzhe Zheng,Yuke Zhang,Tianjiao Xin,Yilin Xu,Shuangquan Qu,Junding Zheng,Zhaomeng Gao,Qilan Zhong,Yiwei Wang,Xiaoyu Feng,Yonghui Zheng,Yan Cheng,Ruiwen Shao,Fang Lin,Xiaoling Lin,He Tian,Rong Huang,Chungang Duan,Hangbing Lyu",null,Materials Today Nano,null,2023-12,10.1016/j.mtnano.2023.100406,true
50102774,Giant electroresistance in hafnia-based ferroelectric tunnel junctions via enhanced polarization,null,"Zhaomeng Gao,Weifeng Zhang,Qilan Zhong,Yonghui Zheng,Shuxian Lv,Qiqiao Wu,Yanling Song,Shengjie Zhao,Yunzhe Zheng,Tianjiao Xin,Yiwei Wang,Wei Wei,Xinqian Ren,Jianguo Yang,Chen Ge,Jiahua Tao,Yan Cheng,Hangbing Lyu",null,Device,null,2023-07,10.1016/j.device.2023.100004,false
50102848,Antiferroelectric PbSnO3 Epitaxial Thin Films,null,"Yuhong Lai,Junding Zheng,Sicheng Lu,Yinkuo Wang,Chungang Duan,Pu Yu,Yunzhe Zheng,Rong Huang,Li Chang,Mingwen Chu,Juhung Hsu,Yinghao Chu",null,Advanced Science,null,2022-12,10.1002/advs.202203863,false
50102800,In-situ atomic-level observation of reversible first-order transition in Hf0.5Zr0.5O2 ferroelectric film,null,"Yonghui Zheng,Tianjiao Xin,Jing Yang,Yunzhe Zheng,Zhaomeng Gao,Yiwei Wang,Yilin Xu,Yan Cheng,Kai Du,Diqing Su,Ruiwen Shao,Bingxing Zhou,Zhen Yuan,Qilan Zhong,Cheng Liu,Rong Huang,Xiaodong Tang,Chungang Duan,Sannian Song,Zhitang Song,Hangbing Lyu",null,International Electron Devices Meeting,null,2022-12,10.1109/IEDM45625.2022.10019431,false
