published_papers
"Action name","Action type","Similar merge priority",ID,Title(Japanese),Title(English),Author(s)(Japanese),Author(s)(English),Authorship,Description(Japanese),Description(English),Publisher(Japanese),Publisher(English),"Date of publication","Journal name(Japanese)","Journal name(English)",Volume,Number,"First page","Last page",Language,"Peer reviewed/Not peer reviewed","Invited/Not invited","Publishing type","International/Domestic journal","International coauthorship",DOI,ISSN,eISSN,URL,URL2,"Major achievement mark?",Status
insert,merge,null,50102584,null,"Identification of the different phase structures in hafnium oxide ferroelectric thin films by atomic image simulations",null,"[Yilin Xu,Zhen Yuan,Yaru Huang,Yunzhe Zheng,Tianjiao Xin,Cheng Liu,Yonghui Zheng,Yan Cheng]",[corresponding],null,null,null,null,2025-02,null,"Progress in Natural Science: Materials International",null,null,null,null,null,true,false,scientific_journal,null,null,10.1016/j.pnsc.2025.02.005,null,null,null,null,false,disclosed
insert,merge,null,50102874,null,"Influence of interface on the domain polarization orientation in ferroelectric Hf0.5Zr0.5O2 thin films",null,"[Yunzhe Zheng,Yilin Xu,Fengrui Sui,Zhaomeng Gao,Ju Chen,Zhao Guan,Luqi Wei,Zhenyu Jia,Tianjiao Xin,Yiwei Wang,Cheng Liu,Rui Wang,Yonghui Zheng,Chao Li,Xiaoling Lin,Shijing Gong,Yan Cheng]",[lead],null,null,null,null,2024-12,null,"Ceramics International",null,null,null,null,null,true,null,scientific_journal,null,null,10.1016/j.ceramint.2024.03.055,null,null,null,null,false,disclosed
insert,merge,null,50102570,null,"Polarization Degradation and Recovery Strategies of Hafnia-Based Ferroelectric Capacitors After Thermal Budget in Back-End of Line Process",null,"[Yunzhe Zheng,Qiwendong Zhao,Zhaomeng Gao,Tianjiao Xin,Yilin Xu,Cheng Liu,Yonghui Zheng,Yan Cheng]",[lead],null,null,null,null,2024-12,null,"IEEE International Electron Devices Meeting (IEDM)",null,null,null,null,null,false,false,international_conference_proceedings,null,null,10.1109/IEDM50854.2024.10873476,null,null,null,null,false,researchers_only
insert,merge,null,50102935,null,"The Fluctuation Effect of Remnant Polarization in Hf0.5Zr0.5O2 Capacitors at Elevated Temperatures",null,"[Zhaomeng Gao,Yunzhe Zheng,Tianjiao Xin,Cheng Liu,Qiwendong Zhao,Yilin Xu,Yonghui Zheng,Xiaoling Lin,Hangbing Lyu,Yan Cheng]",[lead],null,null,null,null,2024-08,null,"IEEE Electron Device Letters",null,null,null,null,null,true,null,scientific_journal,null,null,10.1109/LED.2024.3443619,null,null,null,null,false,disclosed
insert,merge,null,50102813,null,"2D Janus Polarization Functioned by Mechanical Force",null,"[Zhao Guan,Yun‐Zhe Zheng,Wen‐Yi Tong,Ni Zhong,Yan Cheng,Ping‐Hua Xiang,Rong Huang,Bin‐Bin Chen,Zhong‐Ming Wei,Jun‐hao Chu,Chun‐Gang Duan]",[lead],null,null,null,null,2024-07,null,"Advanced Materials",null,null,null,null,null,true,null,scientific_journal,null,null,10.1002/adma.202403929,null,null,null,null,false,disclosed
insert,merge,null,50102853,null,"Polar axis orientation control of hafnium-based ferroelectric capacitors with in-situ AC electric bias during rapid thermal annealing",null,"[Zhaomeng Gao,Tianjiao Xin,D Kai,Qiwendong Zhao,Yiwei Wang,Cheng Liu,X Yilin,Rui Wang,Guangjie Shi,Yunzhe Zheng,Yonghui Zheng,Yan Cheng,Hangbing Lyu]",null,null,null,null,null,2024-06,null,"IEEE Symposium on VLSI Technology and Circuits",null,null,null,null,null,null,null,international_conference_proceedings,null,null,10.1109/VLSITechnologyandCir46783.2024.10631432,null,null,null,null,false,disclosed
insert,merge,null,50102599,null,"Direct atomic-scale visualization of the 90° domain walls and their migrations in Hf0.5Zr0.5O2 ferroelectric thin films",null,"[Yunzhe Zheng,Yuke Zhang,Tianjiao Xin,Yilin Xu,Shuangquan Qu,Junding Zheng,Zhaomeng Gao,Qilan Zhong,Yiwei Wang,Xiaoyu Feng,Yonghui Zheng,Yan Cheng,Ruiwen Shao,Fang Lin,Xiaoling Lin,He Tian,Rong Huang,Chungang Duan,Hangbing Lyu]",[lead],null,null,null,null,2023-12,null,"Materials Today Nano",null,null,null,null,null,true,null,scientific_journal,null,null,10.1016/j.mtnano.2023.100406,null,null,null,null,false,disclosed
insert,merge,null,50102774,null,"Giant electroresistance in hafnia-based ferroelectric tunnel junctions via enhanced polarization",null,"[Zhaomeng Gao,Weifeng Zhang,Qilan Zhong,Yonghui Zheng,Shuxian Lv,Qiqiao Wu,Yanling Song,Shengjie Zhao,Yunzhe Zheng,Tianjiao Xin,Yiwei Wang,Wei Wei,Xinqian Ren,Jianguo Yang,Chen Ge,Jiahua Tao,Yan Cheng,Hangbing Lyu]",null,null,null,null,null,2023-07,null,Device,null,null,null,null,null,true,null,scientific_journal,null,null,10.1016/j.device.2023.100004,null,null,null,null,false,disclosed
insert,merge,null,50102848,null,"Antiferroelectric PbSnO3 Epitaxial Thin Films",null,"[Yu‐Hong Lai,Jun‐Ding Zheng,Si‐Cheng Lu,Yin‐Kuo Wang,Chun‐Gang Duan,Pu Yu,Yun‐Zhe Zheng,Rong Huang,Li Chang,Ming‐Wen Chu,Ju‐Hung Hsu,Ying‐Hao Chu]",null,null,null,null,null,2022-12,null,"Advanced Science",null,null,null,null,null,true,null,scientific_journal,null,null,10.1002/advs.202203863,null,null,null,null,false,disclosed
insert,merge,null,50102800,null,"In-situ atomic-level observation of reversible first-order transition in Hf0.5Zr0.5O2 ferroelectric film",null,"[Yonghui Zheng,Tianjiao Xin,Jing Yang,Yunzhe Zheng,Zhaomeng Gao,Yiwei Wang,Yilin Xu,Yan Cheng,Kai Du,Diqing Su,Ruiwen Shao,Bingxing Zhou,Zhen Yuan,Qilan Zhong,Cheng Liu,Rong Huang,Xiaodong Tang,Chungang Duan,Sannian Song,Zhitang Song,Hangbing Lyu]",null,null,null,null,null,2022-12,null,"International Electron Devices Meeting (IEDM)",null,null,null,null,null,null,null,international_conference_proceedings,null,null,10.1109/IEDM45625.2022.10019431,null,null,null,null,false,disclosed
